Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1-site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2-T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Chlorophyte AI: Scenedesmus,chlorophyte,scenedesmus,chlorai,prosph,16,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Chlorophyte AJ: Scenedesmus,chlorophyte,scenedesmus,chloraj,prosph,16,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate E: cone,ciliate,cone,cile,cone,12,20,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate F: cone,ciliate,cone,cilf,cone,16,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate G: cone,ciliate,cone,cilg,cone,24,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,0.6,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate H:cone,ciliate,cone,cilh,cone,24,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate I: cone,ciliate,cone,cili,cone,32,36,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate J: cone,ciliate,cone,cilj,cone,32,56,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate K: cone,ciliate,cone,cilk,cone,40,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate L: oblong,ciliate,oblong,cill,prosph,8,20,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate M: oblong,ciliate,oblong,cilm,prosph,8,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate N: oblong,ciliate,oblong,ciln,prosph,8,72,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate O: oblong,ciliate,oblong,cilo,prosph,12,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate P: oblong,ciliate,oblong,cilp,prosph,12,56,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate Q: oblong,ciliate,oblong,cilq,prosph,16,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate R: oblong,ciliate,oblong,cilr,prosph,16,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate S: oblong,ciliate,oblong,cils,prosph,16,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate T: oblong,ciliate,oblong,cilt,prosph,20,64,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate U: oblong,ciliate,oblong,cilu,prosph,40,56,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate V: oblong,ciliate,oblong,cilv,prosph,40,72,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate W: oblong,ciliate,oblong,cilw,prosph,72,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate X: oblong,ciliate,oblong,cilx,prosph,80,120,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate Z: other,ciliate,other,cilz,sph,16,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AA: other,ciliate,other,cilaa,sph,19.2,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AC: other,ciliate,other,cilac,sph,32,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AD: other odd shape,ciliate,other odd shape,cilad,rotational ellipsoid,32,136,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AE: round,ciliate,round,cilae,sph,36,36,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AF: round,ciliate,round,cilaf,sph,40,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AG: round,ciliate,round,cilag,sph,48,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AH:round,ciliate,round,cilah,sph,56,56,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AI: round,ciliate,round,cilai,sph,120,120,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Ciliate AJ: round 17 to 32 µm (0.2 to 0.4 mu),ciliate,round,cilaj,sph,24,24,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria D: aphanizomenon,cyanobacteria,aphanizomenon,cyand,cyl,4,56,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria E: aphanizomenon,cyanobacteria,aphanizomenon,cyane,cyl,4,72,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria F: aphanizomenon,cyanobacteria,aphanizomenon,cyanf,cyl,4,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria G: aphanizomenon,cyanobacteria,aphanizomenon,cyang,cyl,4,128,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria I: aphanizomenon,cyanobacteria,aphanizomenon,cyani,cyl,6,72,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria J: aphanizomenon,cyanobacteria,aphanizomenon,cyanj,cyl,6,160,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria K: aphanizomenon,cyanobacteria,aphanizomenon,cyank,cyl,8,32,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,0.78,1,1,1,0.5,0.78,0.6
Cyanobacteria L: aphanizomenon,cyanobacteria,aphanizomenon,cyanl,cyl,8,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.42,0.42,0.6
Cyanobacteria M: aphanizomenon,cyanobacteria,aphanizomenon,cyanm,cyl,8,120,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria P: aphanizomenon,cyanobacteria,aphanizomenon,cyanp,cyl,8,320,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria R: dolichospermum,cyanobacteria,dolichospermum,cyanr,cyl,4,16,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria S: dolichospermum,cyanobacteria,dolichospermum,cyans,cyl,4,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria T: dolichospermum,cyanobacteria,dolichospermum,cyant,cyl,4,48,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria U: dolichospermum,cyanobacteria,dolichospermum,cyanu,cyl,4,64,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,0.67,1,0.5,0.78,0.6
Cyanobacteria V: dolichospermum,cyanobacteria,dolichospermum,cyanv,cyl,4,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria W: dolichospermum,cyanobacteria,dolichospermum,cyanw,cyl,4,120,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria X: dolichospermum,cyanobacteria,dolichospermum,cyanx,cyl,4,160,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria Y: dolichospermum,cyanobacteria,dolichospermum,cyany,cyl,4,240,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria Z: dolichospermum,cyanobacteria,dolichospermum,cyanz,cyl,6,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AA:dolichospermum,cyanobacteria,dolichospermum,cyanaa,cyl,6,56,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AB: dolichospermum,cyanobacteria,dolichospermum,cyanab,cyl,6,64,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AC: dolichospermum,cyanobacteria,dolichospermum,cyanac,cyl,6,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.89,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AD: dolichospermum,cyanobacteria,dolichospermum,cyanad,cyl,6,200,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AE: dolichospermum,cyanobacteria,dolichospermum,cyanae,cyl,8,40,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AF: dolichospermum,cyanobacteria,dolichospermum,cyanaf,cyl,8,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AG: dolichospermum,cyanobacteria,dolichospermum,cyanag,cyl,8,144,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AH: other,cyanobacteria,other,cyanah,cyl,1.6,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AJ: other,cyanobacteria,other,cyanaj,cyl,4,64,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
Cyanobacteria AK: other,cyanobacteria,other,cyanak,cyl,4,80,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,0.89,1,0.55,1,0.6,1,1,1,1,0.73,1,1,1,1,1,1,0.5,0.78,0.6
