Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1 site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2 T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Diatom S: pennate C 2x18,diatom,pennate,dias,prisell,2,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,
Diatom U: pennate C 2x30,diatom,pennate,diau,prisell,2,30,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diatom X: pennate C 4x26,diatom,pennate,diax,prisell,4,26,4,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,1,
Flagellate A: Cryptomonas 4 to 7 µm,flagellate,cryptomonas,flaga,prosph,3.67,5.5,,332,19,28,14,8,3,,73,132,193,223,604,564,788,709,903,815,1119,1322,1212,,581,298,214,185,572,373,409,325,633,,,124,104,165,118,146,134,187,308,,,,,,,,,,,7,,,,,,23,,,
Flagellate B: Cryptomonas 8 to 11 µm,flagellate,cryptomonas,flagb,prosph,6.33,9.5,,112,90,7,102,30,21,17,167,169,147,94,48,10,49,5,44,25,59,47,122,62,129,79,173,80,85,31,209,86,171,117,,69,113,73,131,72,255,276,284,,,,,,,,,,,,,,,,,,,,
Flagellate C: Cryptomonas 12 to 16 µm,flagellate,cryptomonas,flagc,prosph,9.00,14,,42,56,17,36,10,35,1,68,38,52,13,13,,11,,10,,17,23,57,,91,,53,10,32,6,82,24,42,,,,,,14,3,21,20,45,,,,,,,,,,,,10,,,,,,,,
Flagellate D: Other 4 to 7 µm,flagellate,other,flagd,prosph,3.67,5.5,,294,403,237,267,155,152,109,200,244,1,176,292,303,203,303,334,362,191,263,270,,131,86,98,101,171,149,138,91,154,15,261,179,125,222,269,179,104,95,124,,63,34,82,104,301,263,99,46,94,,128,193,99,104,128,420,64,95,54
Flagellate E: Other 8 to 11 µm,flagellate,other,flage,prosph,6.33,9.5,,39,27,19,34,4,16,5,48,31,39,59,3,,10,6,1,,,6,1,10,25,11,17,6,19,,13,7,18,,172,6,26,16,29,14,4,18,9,4,22,7,39,24,19,115,27,33,71,6,50,24,99,37,103,51,140,132,102
Flagellate F: Other 12 to 16 µm,flagellate,other,flagf,prosph,9.00,14,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,1,2,,7,,,27,,4,2,,,,11,3,,2,3,54,1,5,5,2,3,5,15,,14,26,7,30,13,51,26,111
Flagellate G: in a cone,flagellate,in a cone,flagg,sph,4,4,,,,,,,,,,,,,,,20,38,33,37,10,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
