Organism,Group,Type, name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1-site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2-T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Chlorophyte M: other 10x10,chlorophyte,other,chlorm,sph,10,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,2363,0,0,0,0,0,0,0,0,0,0,0,1387,0,0,0,0,0,0,8175,0,0,0,0
Chlorophyte N: scendesmus,chlorophyte,scenedesmus,chlorn,prosph,4,4,,1499,0,0,417,0,0,416,0,829,831,1908,2309,0,2212,1255,0,2075,2640,2099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693,0,0,0,9227,0,0,0,7232,0,0,0
Chlorophyte O: scendesmus,chlorophyte,scenedesmus,chloro,prosph,4,6,,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,875,0,0,0,1674,2465,728,0,0,0,0,644,0,801,2549,0,0,0,0,0,0,0,0,0,0,0,15633,0,17198,0,16831,18531,0,9027,13936
Chlorophyte P: scendesmus,chlorophyte,scenedesmus,chlorp,prosph,4,8,,0,1507,1249,0,0,0,0,0,0,0,0,0,0,0,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,1627,1100,0,0,0,0,0,0,401,0,0,468,0,1621,0,0,0,0,0,0,10048,0,0,0,0,0
Chlorophyte Q: scendesmus,chlorophyte,scenedesmus,chlorq,prosph,6,14,,0,0,0,0,0,0,0,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophyte R: scendesmus,chlorophyte,scenedesmus,chlorr,prosph,6,6,,0,0,0,0,0,0,0,0,0,0,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1094,0,0
Chlorophyte S: scendesmus,chlorophyte,scenedesmus,chlors,prosph,6,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2098,0,0,0,0,0,0,0,7382,0,0,0,0,0,0,0
Chlorophyte T: scendesmus,chlorophyte,scenedesmus,chlort,prosph,8,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,0,0,0,0,0,0,0,0,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chlorophyte U: scendesmus,chlorophyte,scenedesmus,chloru,prosph,8,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10317,0
Chlorophyte V: scendesmus,chlorophyte,scenedesmus,chlorv,prosph,10,16,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7660,0,0
Chlorophyte W: scendesmus,chlorophyte,scenedesmus,chlorw,prosph,14,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189,0,0
Ciliate A: Round 4 to 7 µm,ciliate,round,cila,sph,5.5,5.5,,0,603,832,834,0,207,208,0,207,0,0,3988,2590,3017,837,2497,1452,1015,420,421,0,689,238,0,0,584,437,373,581,670,822,3639,2012,5579,1860,7040,1504,350,801,728,0,3296,134,1010,572,13870,315,463,693,207,0,0,0,1012,0,1443,8588,15321,3761,7818
Ciliate B: Round 8 to 11 µm,ciliate,round,cilb,sph,9.5,9.5,,0,2863,1665,4169,1657,2697,1455,1041,1865,2286,848,11335,6375,18703,8993,9990,6432,3452,1259,2529,0,7349,2141,3000,1094,9047,2404,249,1743,2344,822,11161,5364,10693,3487,11440,7734,4196,2204,6920,0,5310,803,3636,1335,3740,1735,6947,5317,7237,0,35957,0,25291,2153,47126,4972,8755,11821,11557
Ciliate C: Round 12 to 16 µm,ciliate,round,cilc,sph,14,14,,643,3315,1041,6045,414,3735,208,1249,2901,1662,5089,5878,4781,11262,2092,8453,4565,2437,420,2529,8396,4134,476,3923,1094,5545,2185,1120,581,2009,1643,7279,1788,4417,697,5060,1933,1224,3006,4735,4035,11170,1740,10909,2479,11065,2366,4863,3467,8064,52118,12507,16609,19222,0,25486,4520,19698,16657,11897
Cyanobacteria A: 4x24,cyanobacteria,other,cyana,cyl,4,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria B: 4x50,cyanobacteria,other,cyanb,cyl,4,50,,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom A: Centric 4 to 7 µm,diatom,centric,diaa,cyl,5.5,5.5,,34695,29236,16233,21261,15953,17636,9558,21436,28177,39065,5513,3149,3187,3620,3137,4419,4357,1218,2939,2950,0,60727,11656,0,9630,49902,9396,8341,12781,46202,0,1698,2235,1860,1395,3740,8163,3322,2805,6191,56491,27062,5754,16566,10490,31169,19717,22695,11558,9925,186137,136011,41522,91049,0,113807,28023,125849,137986,155000
Diatom B: Centric 8 to 11 µm,diatom,centric,diab,cyl,9.5,9.5,,13064,11001,1873,10839,4351,9752,1455,6660,9945,11221,424,1469,996,201,418,2497,207,2031,840,421,83956,116364,15225,118385,8755,143577,21633,86137,104862,181237,2465,1213,447,0,1860,1320,1074,1399,1803,2914,28246,41167,7360,24040,27627,80416,11357,61600,69581,37425,52118,65660,11995,103189,4306,43279,14915,113811,163778,108772
Diatom C: Centric 12 to 16 µm,diatom,centric,diac,cyl,14,14,,9852,3315,1873,5003,1243,4980,416,5411,2279,3948,1060,0,797,1408,0,1345,207,2437,0,1054,0,4593,2379,14769,6566,15758,1967,3486,8133,17075,0,728,0,0,0,440,215,0,601,2549,0,4395,3212,7677,1144,4831,473,695,2312,827,52118,45337,0,26303,4306,26448,3164,41585,41267,0
Diatom D: pennate A 2x8,diatom,pennate,diad,prisell,2,8,2,0,0,0,0,0,0,0,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom E: pennate A 2x10,diatom,pennate,diae,prisell,2,10,2,0,0,0,0,0,0,1247,0,2486,3532,0,0,0,0,0,0,0,0,0,1475,0,0,0,0,0,0,0,0,0,2678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89346,0,0,0,0,0,0,0,0,0
Diatom F: pennate A 2x12,diatom,pennate,diaf,prisell,2,12,2,0,2110,2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom G: pennate A 2x20,diatom,pennate,diag,prisell,2,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623,0,0,0,0,59564,0,0,0,0,0,0,0,0,0
Diatom H: pennate A 3x12,diatom,pennate,diah,prisell,3,12,3,1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom I: pennate A 4x10,diatom,pennate,diai,prisell,4,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,946,0,0,0,0,0,0,0,0,0,0,45962,0,0
Diatom J: pennate A 4x24,diatom,pennate,diaj,prisell,4,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40647,4614,0,7177,40393,0,0,0,0
Diatom K: pennate A 4x36,diatom,pennate,diak,prisell,4,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12919,0,6780,0,0,0
Diatom L: pennate B 2x20,diatom,pennate,dial,prisell,2,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4040,0,2338,0,5326,0,0,0,0,0,0,0,0,0,0,0,0
Diatom M: pennate B 3x20,diatom,pennate,diam,prisell,3,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153,0,0,0,0,0
Diatom N: pennate B4x12,diatom,pennate,dian,prisell,4,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2519,0,0,0,0,0,0,0,0,0,0,0,0,4417,0,0,0,0,0,0,0,3845,0,0,4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8838
Diatom O: pennate B 4x16,diatom,pennate,diao,prisell,4,16,4,0,0,0,0,0,0,0,0,3522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11128,0,0,0,10943,0,0
Diatom P: pennate B 4x20,diatom,pennate,diap,prisell,4,20,4,0,0,0,0,0,0,0,0,0,416,8057,1679,0,0,0,0,0,0,0,0,0,0,2141,0,0,0,0,0,0,0,13146,0,0,0,0,0,0,0,0,0,0,0,1338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom Q: pennate C 1x20,diatom,pennate,diaq,prisell,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2543,0,0,0,0,0,0,0,0,4377,0,0
Diatom R: pennate C 2x16,diatom,pennate,diar,prisell,2,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom S: pennate C 2x18,diatom,pennate,dias,prisell,2,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5521,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom T: pennate C 2x20,diatom,pennate,diat,prisell,2,20,2,13064,10097,2705,6462,5801,5602,2909,10406,10981,0,15690,5248,4383,8044,10667,4227,4772,10356,5878,6322,0,13091,10467,0,14008,20719,11144,16433,0,42854,0,0,5811,0,5346,8360,7734,10490,6612,1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom U: pennate C 2x30,diatom,pennate,diau,prisell,2,30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom V:pennate C 4x10,diatom,pennate,diav,prisell,4,10,4,0,0,0,0,0,0,0,0,0,11221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom W: pennate C 4x24,diatom,pennate,diaw,prisell,4,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diatom X: pennate C 4x26,diatom,pennate,diax,prisell,4,26,4,0,0,0,0,0,0,0,0,0,0,0,0,1195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4068,0,1290,0
Flagellate A: Cryptomonas 4 to 7 µm,flagellate,cryptomonas,flaga,prosph,3.67,5.5,,71104,2863,5827,2918,1657,622,0,15192,27348,40104,47281,332816,181501,302537,239541,280235,169099,397638,485633,595972,0,211273,122445,117288,115687,166923,81507,137082,94405,635782,0,0,75229,38278,38355,43267,66213,23427,74939,336519,0,0,0,0,0,0,0,0,0,0,52118,0,0,0,0,0,10395,0,0,0
Flagellate B: Cryptomonas 8 to 11 µm,flagellate,cryptomonas,flagb,prosph,6.33,9.5,,23987,13563,1457,21261,6216,4357,3532,34755,35014,30545,19930,10076,1992,9854,1046,8453,5187,11980,9866,25710,52053,29627,18793,39923,17509,24805,6774,26018,24981,57250,136603,0,15423,26268,16969,28820,15467,44580,110605,310296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagellate C: Cryptomonas 12 to 16 µm,flagellate,cryptomonas,flagc,prosph,9.00,14,,8995,8439,3538,7504,2072,7262,208,14152,7873,10805,2756,2729,0,2212,0,1921,0,3452,4828,12012,0,20900,0,12231,2189,9338,1311,10208,6971,14062,0,0,0,0,0,3080,644,3671,4007,16389,0,0,0,0,0,0,0,0,0,0,0,15633,0,0,0,0,0,0,0,0
Flagellate D: Other 4 to 7 µm,flagellate,other,flagd,prosph,3.67,5.5,,62965,60733,49323,55655,32114,31537,22649,41623,50553,208,37316,61294,60362,71443,63373,64166,75109,38784,55207,56900,0,30086,20458,22615,22106,49902,32559,17180,26433,51559,12324,100266,108597,46007,70036,98633,81179,62338,19035,135481,0,11536,4550,16566,24557,46909,41485,22926,10634,19436,0,200108,178085,100154,118182,102587,189831,70038,122511,18355
Flagellate E: Other 8 to 11 µm,flagellate,other,flage,prosph,6.33,9.5,,8353,4069,3954,7087,829,3320,1039,9989,6423,8104,12509,630,0,2011,1255,192,0,0,1259,211,8396,5742,2617,3923,1313,5545,0,1618,2033,6026,0,66076,1341,6044,3719,6380,3008,2398,3607,3278,16140,4029,937,7879,4577,2961,18140,6253,7628,14680,44673,78167,22145,100154,26555,74295,23051,153208,170226,110947
Flagellate F: Other 12 to 16 µm,flagellate,other,flagf,prosph,9.00,14,,0,0,0,0,0,0,0,0,0,0,0,210,0,201,0,0,0,0,0,0,0,230,0,0,0,292,437,0,2033,0,0,6551,0,930,465,0,0,0,2204,1093,0,366,401,10909,191,779,789,463,693,1034,111682,0,12918,26303,5024,14426,5876,55811,33529,37730
Flagellate G: in a cone,flagellate,in a cone,flagg,sph,4,4,,0,0,0,0,0,0,0,0,0,0,0,0,0,4022,7948,6340,7677,2031,3569,1475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flagellate H: in a cone,flagellate,in a cone,flagh,sph,6,6,,0,0,0,0,0,0,0,0,0,0,0,6297,4184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified A1,unidentified,other,una1,cyl,2,10,,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5158,0
Unidentified A2,unidentified,other,una2,cyl,3,8,,0,0,0,0,5801,0,0,0,0,0,0,0,0,0,0,0,0,0,3778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified A3,unidentified,other,una3,prosph,4,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2529,0,0,0,0,0,0,0,0,0,0,4108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11128,0,0,51977,6566,0,0
Unidentified A4,unidentified,other,una4,prosph,6,14,,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1435,0,0,0,0,0
Unidentified A5,unidentified,other,una5,prosph,8,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0,0,0,0,0,0,0,0,0,7394,0,0,0,0,0,0,0,0,0,4035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified A6,unidentified,other,una6,sph,10,10,,0,0,0,0,0,0,208,1249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified A7,unidentified,other,una7,sph,10,16,,0,0,0,0,1243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified A8,unidentified,other,una8,sph,12,12,,0,0,0,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified A9,unidentified,other,una9,prisell,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12203,0,0,0
Unidentified B1 flag/chloro,unidentified,flagchloro,unb1,cyl,3,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9192,7296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified B2 flag/chloro,unidentified,flagchloro,unb2,cyl,4,8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670,0,0,0,0,10693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28604,0,0,0,0,0,0,0
Unidentified B3 flag/chloro,unidentified,flagchloro,unb3,cyl,4,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76886,0,0,0,0,0,0
Unidentified B4 flag/chloro,unidentified,flagchloro,unb4,cyl,4,12,,0,0,0,0,0,0,0,0,0,0,0,840,0,2011,0,0,0,0,0,0,89833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342982,0,24111,0,16974,0,0,0,0,0,0,181348,0,18210,0,0,18079,0,0,0
Unidentified B5 flag/chloro,unidentified,flagchloro,unb5,cyl,4,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4227,0,7716,0,4636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7179,0,0,22336,0,0,0,0,0,0,0,0,0
Unidentified B6 flag/chloro,unidentified,flagchloro,unb6,cyl,4,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8498,19982,4615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified Round A: 4 to 7 µm,unidentified,round,unrna,sph,5.5,5.5,,30412,22003,15400,16467,7873,10789,7065,30176,32942,40104,51310,40093,36457,70387,57307,51871,56228,33098,43872,34140,99908,27100,29735,14769,26921,49026,29063,13196,25271,69973,217801,158658,164412,118367,117042,95333,155685,59940,63718,127833,621404,29426,26581,21616,42149,31792,20033,51642,20805,27914,238255,176658,167013,254938,207273,183213,245876,122566,118643,117474
Unidentified Round B: 8 to 11 µm,unidentified,round,unrnb,sph,9.5,9.5,,6211,3768,1457,3544,2072,2282,1455,7492,6837,6026,13145,2939,3586,2815,2301,4803,2905,1421,4198,4215,94031,8727,3092,3923,3502,2335,874,1992,581,5022,57513,13587,2906,3719,3254,8580,5800,2972,4007,9833,0,4029,2676,8889,1716,1870,2366,8105,4392,8512,119128,23450,18454,23268,10766,24044,49266,40491,78665,35011
