Organism,Group,type,name,shp,sa,la,wi,SJR2 site,SJR2 FC-1,SJR2 T24-1,SJR2 FC-2,SJR2 T24-2,SJR2 FC-3,SJR2 T24-3,SJR2 IC-1,SJR2 IC-2,SJR2 IC-3,YBP1 site,YBP1 FC-1,YBP1 T24-1,YBP1 FC-2,YBP1 T24-2,YBP1 FC-3,YBP1 T24-3,YBP1 IC-1,YBP1 IC-2,YBP1 IC-3,LSZ2 site,LSZ2 FC-1,LSZ2 T24-1,LSZ2 FC-2,LSZ2 T24-2,LSZ2 FC-3,LSZ2 T24-3,LSZ2 IC-1,LSZ2 IC-2,LSZ2 IC-3,WLD2 site,WLD2 FC-1,WLD2 T24-1,WLD2 FC-2,WLD2 T24-2,WLD2 FC-3,WLD2 T24-3,WLD2 IC-1,WLD2 IC-2,WLD2 IC-3,SJR1 site,SJR1 FC-1,SJR1 T24-1,SJR1 FC-2,SJR1 T24-2,SJR1 FC-3,SJR1 T24-3,SJR1 IC-1,SJR1 IC-2,SJR1 IC-3,YBP2 site,YBP2 FC-1,YBP2 T24-1,YBP2 FC-2,YBP2 T24-2,YBP2 FC-3,YBP2 T24-3,YBP2 IC-1,YBP2 IC-2,YBP2 IC-3
Chlorophyte M: other 10x10,chlorophyte,other,chlorm,sph,10,10,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte N: scendesmus,chlorophyte,scenedesmus,chlorn,prosph,4,4,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte O: scendesmus,chlorophyte,scenedesmus,chloro,prosph,4,6,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte P: scendesmus,chlorophyte,scenedesmus,chlorp,prosph,4,8,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte Q: scendesmus,chlorophyte,scenedesmus,chlorq,prosph,6,14,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte R: scendesmus,chlorophyte,scenedesmus,chlorr,prosph,6,6,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte S: scendesmus,chlorophyte,scenedesmus,chlors,prosph,6,8,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte T: scendesmus,chlorophyte,scenedesmus,chlort,prosph,8,10,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte U: scendesmus,chlorophyte,scenedesmus,chloru,prosph,8,12,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte V: scendesmus,chlorophyte,scenedesmus,chlorv,prosph,10,16,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Chlorophyte W: scendesmus,chlorophyte,scenedesmus,chlorw,prosph,14,20,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Ciliate A: Round 4 to 7 µm,ciliate,round,cila,sph,5.5,5.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.12,0.16
Ciliate B: Round 8 to 11 µm,ciliate,round,cilb,sph,9.5,9.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.12,0.16
Ciliate C: Round 12 to 16 µm,ciliate,round,cilc,sph,14,14,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.12,0.16
Cyanobacteria A: 4x24,cyanobacteria,other,cyana,cyl,4,24,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Cyanobacteria B: 4x50,cyanobacteria,other,cyanb,cyl,4,50,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom A: Centric 4 to 7 µm,diatom,centric,diaa,cyl,5.5,5.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.12,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.23,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.09,0.16,0.05,0.05,0.04
Diatom B: Centric 8 to 11 µm,diatom,centric,diab,cyl,9.5,9.5,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.12,0.19,0.08,0.2,0.15,0.2,0.13,0.15,0.09,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.16,0.37,0.24,0.21,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.05
Diatom C: Centric 12 to 16 µm,diatom,centric,diac,cyl,14,14,,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom D: pennate A 2x8,diatom,pennate,diad,prisell,2,8,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom E: pennate A 2x10,diatom,pennate,diae,prisell,2,10,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom F: pennate A 2x12,diatom,pennate,diaf,prisell,2,12,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom G: pennate A 2x20,diatom,pennate,diag,prisell,2,20,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom H: pennate A 3x12,diatom,pennate,diah,prisell,3,12,3,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom I: pennate A 4x10,diatom,pennate,diai,prisell,4,10,4,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom J: pennate A 4x24,diatom,pennate,diaj,prisell,4,24,4,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom K: pennate A 4x36,diatom,pennate,diak,prisell,4,36,4,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom M: pennate B 3x20,diatom,pennate,diam,prisell,3,20,3,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom N: pennate B4x12,diatom,pennate,dian,prisell,4,12,4,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom O: pennate B 4x16,diatom,pennate,diao,prisell,4,16,4,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom P: pennate B 4x20,diatom,pennate,diap,prisell,4,20,4,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom Q: pennate C 1x20,diatom,pennate,diaq,prisell,1,20,1,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom R: pennate C 2x16,diatom,pennate,diar,prisell,2,16,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom S: pennate C 2x18,diatom,pennate,dias,prisell,2,18,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
Diatom U: pennate C 2x30,diatom,pennate,diau,prisell,2,30,2,0.21,0.29,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.19,0.19,0.19,0.2,0.15,0.2,0.35,0.15,0.12,0.27,0.19,0.19,0.19,0.19,0.2,0.19,0.24,0.22,0.12,0.11,0.33,0.37,0.24,0.26,0.28,0.28,0.19,0.19,0.19,0.06,0.14,0.14,0.12,0.19,0.15,0.16,0.05,0.05,0.16
